text,intent,workflow
what is Amazon Vine program,amazon_docs,doc_search
how does automate pricing work on Amazon,amazon_docs,doc_search
what are FBA inbound performance requirements,amazon_docs,doc_search
how to handle dangerous goods on Amazon,amazon_docs,doc_search
what is the inventory placement service,amazon_docs,doc_search
what is RAG,general,general_chat
explain context window in LLMs,general,general_chat
what is vector embedding,general,general_chat
how does semantic search work,general,general_chat
explain the difference between FBA and FBM,general,general_chat
what is intent classification,general,general_chat
how do large language models work,general,general_chat
what is ChromaDB,general,general_chat
explain cosine similarity,general,general_chat
what is a transformer model,general,general_chat
how does tokenization work,general,general_chat
what is prompt engineering,general,general_chat
ASIN lookup B09GHI,sp_api,sp_api_fetch
buy box status for ASIN B08ABC,sp_api,sp_api_fetch
catalog information for my product,sp_api,sp_api_fetch
check delivery status,sp_api,sp_api_fetch
check if ASIN B07 has active listings,sp_api,sp_api_fetch
check if ASIN B07 has buy box,sp_api,sp_api_fetch
check if order has been fulfilled,sp_api,sp_api_fetch
check inventory for ASIN B07XYZ,sp_api,sp_api_fetch
check listing status,sp_api,sp_api_fetch
check order status for 112-1234567-8901234,sp_api,sp_api_fetch
check seller account health,sp_api,sp_api_fetch
check stock for my product,sp_api,sp_api_fetch
check warehouse stock levels,sp_api,sp_api_fetch
create a removal order for ASIN B07XYZ,sp_api,sp_api_fetch
FBA inventory level for SKU ABC123,sp_api,sp_api_fetch
FBA inventory status,sp_api,sp_api_fetch
financial settlement details,sp_api,sp_api_fetch
get catalog info for SKU ABC123,sp_api,sp_api_fetch
get order details,sp_api,sp_api_fetch
get product details from catalog,sp_api,sp_api_fetch
get shipping details for my order,sp_api,sp_api_fetch
has my order shipped yet,sp_api,sp_api_fetch
how many units of B08DEF are in FBA,sp_api,sp_api_fetch
how much inventory do I have,sp_api,sp_api_fetch
inventory age report,sp_api,sp_api_fetch
inventory health for ASIN B09GHI,sp_api,sp_api_fetch
inventory placement status,sp_api,sp_api_fetch
is ASIN B07ABC in stock at FBA,sp_api,sp_api_fetch
is my listing active,sp_api,sp_api_fetch
is my order delivered,sp_api,sp_api_fetch
look up order 114-1111111-2222222,sp_api,sp_api_fetch
order fulfillment status,sp_api,sp_api_fetch
order tracking information,sp_api,sp_api_fetch
product listing details for B08DEF,sp_api,sp_api_fetch
removal order status,sp_api,sp_api_fetch
request a detailed financial report,sp_api,sp_api_fetch
request a settlement report,sp_api,sp_api_fetch
request inventory placement for ASIN B07XYZ,sp_api,sp_api_fetch
seller account verification,sp_api,sp_api_fetch
show me my product listing,sp_api,sp_api_fetch
show me order information,sp_api,sp_api_fetch
stranded inventory check,sp_api,sp_api_fetch
track my shipment,sp_api,sp_api_fetch
verify my listing is live,sp_api,sp_api_fetch
verify my seller account status,sp_api,sp_api_fetch
what is the status of order 113-9876543-1234567,sp_api,sp_api_fetch
when will my order arrive,sp_api,sp_api_fetch
where is my order,sp_api,sp_api_fetch
get my settlement summary,uds,uds_query
show me FBA fees for last month,uds,uds_query
referral fee breakdown by category,uds,uds_query
total fees paid in Q1 2026,uds,uds_query
fee analysis for last 30 days,uds,uds_query
compare fees between Q1 and Q2,uds,uds_query
which products have the highest fees,uds,uds_query
FBA fee breakdown by ASIN,uds,uds_query
storage fee trend over last 6 months,uds,uds_query
oversize fee charges last quarter,uds,uds_query
fee summary for March 2026,uds,uds_query
how much did I pay in referral fees,uds,uds_query
fee comparison by product category,uds,uds_query
monthly fee report,uds,uds_query
financial summary for ASIN B07XYZ,uds,uds_query
get financial summary for last month,uds,uds_query
total sales last quarter,uds,uds_query
revenue trend by month,uds,uds_query
sales performance for March 2026,uds,uds_query
top 5 products by revenue,uds,uds_query
top 10 products by sales volume,uds,uds_query
compare sales Q1 vs Q2,uds,uds_query
daily sales for last 30 days,uds,uds_query
average order value last month,uds,uds_query
sales breakdown by category,uds,uds_query
which products sold the most,uds,uds_query
revenue by marketplace,uds,uds_query
sales growth trend,uds,uds_query
orders sold last week,uds,uds_query
historical sales data,uds,uds_query
top 20 products by refund rate,uds,uds_query
refund count by product,uds,uds_query
products by refund rate,uds,uds_query
which ClickHouse table stores referral fees,uds,uds_query
what columns does the orders table have,uds,uds_query
show me the UDS table schema,uds,uds_query
what data tables are available,uds,uds_query
which table has sales data,uds,uds_query
ClickHouse table structure,uds,uds_query
what dataset contains fee information,uds,uds_query
describe the settlement report table,uds,uds_query
UDS table for inventory data,uds,uds_query
column names in the orders table,uds,uds_query
what schema does the financial table use,uds,uds_query
list all ClickHouse tables,uds,uds_query
settlement report for last month,uds,uds_query
financial report for Q1 2026,uds,uds_query
show me the settlement breakdown,uds,uds_query
historical financial report,uds,uds_query
settlement data for March 2026,uds,uds_query
